Population_ID	Animal_ID	Genetic Distance	maxUAR1(B)	maxUAR2(B)	maxUAR(P)	spa
15	IT_ALP0082	1.9420086710184772	0.161483563337406	0.160584302135613	0.09431512987700158	3.12
15	IT_ALP0083	1.9199121083899802	0.0735830526431986	0.0653843477890747	0.04206176209928751	0.0
15	IT_ALP0084	1.8758987997288097	0.125825130698716	0.113249100593947	0.06926832853550269	3.12
15	IT_ALP0035	1.93571967408094	0.092415247993884	0.0881390280689134	0.054778237613164915	0.0
15	IT_ALP0086	1.790317380584671	0.134461118285275	0.0997898786112538	0.0663671856088682	0.0
15	IT_ALP0087	2.0081438164550636	0.105271760997318	0.0985923997093535	0.06356606537887408	0.0
15	IT_ALP0088	1.9285179422272873	0.0841569635922198	0.0840079526031677	0.0573504784465728	0.0
15	IT_ALP0089	1.8688918769325984	0.0868282934007802	0.0859662027147001	0.032230213757925855	0.0
15	IT_ALP0090	1.7482748818615497	0.104604159188953	0.0867400072442708	0.05860334159762205	0.0
15	IT_ALP0091	1.8745635757742565	0.123560678668594	0.118756860480023	0.05342251157952208	0.0
15	IT_ALP0092	1.9032195588667395	0.168934307164109	0.0971018706416259	0.05395101936969488	0.0
15	IT_ALP0093	1.836794653995674	0.130097501014865	0.0793078462866847	0.04833083366749432	0.0
15	IT_ALP0094	1.76836754593762	0.0822462719557075	0.0791138356143973	0.05241033681931247	0.0
15	IT_ALP0095	1.844205393920971	0.0817899454863289	0.0810453898013251	0.03923731984705348	0.0
15	IT_ALP0068	1.8412213701470805	0.0882994261228113	0.0840285809940663	0.0503254622059898	0.0
15	IT_ALP0096	1.9121971581440709	0.179740950432586	0.122811053323831	0.07261915682734224	3.12
15	IT_ALP0067	1.7451408694835115	0.10101721588178	0.100314046907257	0.057278387790288945	3.12
15	IT_ALP0065	1.9442418415281768	0.147028698648481	0.125385076211063	0.09239109273758625	3.12
15	IT_ALP0060	1.882432684204893	0.111214083051114	0.0842994019486494	0.05794309712248588	3.12
15	IT_ALP0059	1.7788769525470116	0.0911823450841898	0.0904647416925631	0.06196878168088094	0.0
15	IT_ALP0058	1.8114020035402927	0.169239570274591	0.10922234463696	0.06950047913303288	0.0
15	IT_ALP0057	1.8843102263913216	0.0869252875331446	0.0809095685570214	0.04494765634228934	0.0
15	IT_ALP0056	1.8361152310405777	0.0768360069795364	0.0739460631899192	0.03623491666331409	0.0
15	IT_ALP0055	1.770783635369645	0.0896821654732278	0.0809558112973077	0.0468620122686023	3.12
15	IT_ALP0054	1.891365986652363	0.205576833518534	0.199646748466978	0.1044843982849492	3.12
15	IT_ALP0053	1.88240358827093	0.193446772399143	0.106751508024841	0.051400816257654754	0.0
15	IT_ALP0052	1.8643346367147953	0.131230794552014	0.122880331362837	0.06507377484250555	0.0
15	IT_ALP0051	1.8863978103737202	0.12343605314269	0.0961847471295594	0.05315920921618622	0.0
15	IT_ALP0050	1.902998020171182	0.142839401107243	0.141502572704911	0.08288435534883566	0.0
15	IT_ALP0049	1.8775044694981573	0.12868399591197	0.102899270450968	0.06211860941241684	0.0
15	IT_ALP0048	1.9033504764932723	0.148299551400112	0.129635543815478	0.08663805601146296	0.0
15	IT_ALP0047	1.819627239029001	0.159246297315332	0.142064671298183	0.06421537164732465	0.0
15	IT_ALP0046	1.855891392900356	0.101638360608929	0.0998048650888615	0.053102785421892965	0.0
15	IT_ALP0045	1.8627508460371713	0.0875130508572872	0.0680270976297513	0.03784885013845502	0.0
15	IT_ALP0044	2.0105232161727185	0.105736078608543	0.0970920047893823	0.060541289677914084	0.0
15	IT_ALP0160	1.9268859502170004	0.137653911277219	0.130581853211088	0.10456576891261588	3.12
15	IT_ALP0043	1.933533082861123	0.111263053855978	0.0745057263914279	0.046751641964789384	0.0
15	IT_ALP0042	1.850761575062686	0.0970595750532161	0.0925864998072681	0.04623109543280169	3.12
15	IT_ALP0041	1.930475865815596	0.171414272355274	0.130333504753529	0.08775714642647768	0.0
15	IT_ALP0061	1.9579023427174038	0.164967504716316	0.163667691930895	0.09470471021178535	0.0
15	IT_ALP0040	1.8230302707034116	0.100368159296463	0.078963417795931	0.04020730832827642	0.0
15	IT_ALP0039	1.8501891801021129	0.108846499447327	0.0965323019097897	0.061664895865224216	3.12
15	IT_ALP0062	1.874056854509932	0.103386394141149	0.100286739323051	0.06195331353500704	0.0
15	IT_ALP0063	1.9805042977755742	0.100798901384869	0.0911561814837275	0.032778516926743446	0.0
15	IT_ALP0064	1.7783145901377218	0.0942034495597807	0.0934989250857734	0.06110721822502344	0.0
15	IT_ALP0066	2.0141078818887648	0.285413275060867	0.194626570594106	0.06285774165435512	0.0
15	IT_ALP0097	1.9593591009203477	0.136670893386043	0.120710047368033	0.06794758726194218	0.0
15	IT_ALP0038	1.9253600550730947	0.137283387141764	0.126915784170378	0.08426293314288524	3.12
15	IT_ALP0099	1.8306130270314678	0.141675022107985	0.107193465960051	0.04355191183620633	0.0
15	IT_ALP0138	1.9807725106904255	0.0936524472146666	0.087059352232588	0.05107356595800983	0.0
15	IT_ALP0137	1.902085472033577	0.215838181875284	0.195842629183124	0.08286562256155906	6.25
15	IT_ALP0133	1.8245087337964014	0.0973594477432976	0.089830826009671	0.06047184711778464	0.0
15	IT_ALP0132	1.800117814511627	0.104996341563316	0.0960505900418332	0.028002862808344058	0.0
15	IT_ALP0131	1.7886447896023772	0.0851348224504791	0.0817459503867069	0.042231083032154754	0.0
15	IT_ALP0130	1.8321118068210032	0.0993795370322915	0.0978679756848674	0.04901242363090849	0.0
15	IT_ALP0129	1.9617318514361772	0.199795609245821	0.148469423660998	0.09598383304226177	0.0
15	IT_ALP0128	1.953192918837028	0.116603342721216	0.0993567107706912	0.06465040142662798	3.12
15	IT_ALP0127	1.9404824628585564	0.15584542975048	0.130835195604995	0.07624765461343695	0.0
15	IT_ALP0126	1.8493538804950886	0.105083507961958	0.0969339258936104	0.07128809606470066	0.0
15	IT_ALP0125	1.817926369587271	0.097129449155363	0.0786189264047167	0.047916714607212176	3.12
15	IT_ALP0124	1.8264177461046365	0.0940485346167047	0.0862360066185123	0.05614600833731654	0.0
15	IT_ALP0123	1.7832517429446886	0.127349769207474	0.10736709134394	0.05196569138323433	6.25
15	IT_ALP0122	1.9918464014914117	0.108940828184586	0.0950586025490094	0.037012683744598734	0.0
15	IT_ALP0121	1.760466256435523	0.112251193142693	0.098984484016646	0.06109169021079276	0.0
15	IT_ALP0120	1.9707393900811283	0.0899766361186065	0.0785663949659435	0.04001764025574825	0.0
15	IT_ALP0119	1.9330489909198125	0.187001333039088	0.168165396090299	0.10100805821939483	3.12
15	IT_ALP0139	1.8318408185630706	0.0987009536776156	0.0893571947880784	0.05813669636157144	0.0
15	IT_ALP0140	1.7456827285662166	0.0774957954923591	0.0763988981491954	0.03836785532133501	0.0
15	IT_ALP0141	1.918062633831717	0.152457674039882	0.130519197105986	0.08115307631568418	0.0
15	IT_ALP0143	1.854436236540193	0.0794711116357622	0.0714556507574615	0.027815013341796098	0.0
15	IT_ALP0134	1.9374288394085015	0.201087850763198	0.161862829048286	0.06949041703417456	3.12
15	IT_ALP0135	1.914493605347628	0.183929439585444	0.0988178478435727	0.05322956583188325	0.0
15	IT_ALP0136	1.9016232942360172	0.106737292191539	0.0920068037196174	0.06422005574589253	0.0
15	IT_ALP0157	1.9479123971186252	0.215484471273151	0.160268568260717	0.10324205269133856	0.0
15	IT_ALP0156	2.0348728439558363	0.114618409638167	0.103444389763913	0.07189547176717571	3.12
15	IT_ALP0155	2.2934984987783684	0.08566727030791	0.0836663159648653	0.04657110962347152	9.38
15	IT_ALP0154	1.9261767816724873	0.125280264157475	0.124409712344815	0.09289069846233426	3.12
15	IT_ALP0153	1.9253044138161666	0.118959797782113	0.118835493003364	0.08989662434683518	0.0
15	IT_ALP0118	1.9295970674882374	0.140736241560145	0.13857330676908	0.10066075523130112	0.0
15	IT_ALP0152	2.017026463068508	0.122910475844317	0.0849369715369215	0.0451184893141994	3.12
15	IT_ALP0150	2.07937591742715	0.118214209468413	0.0760674711418742	0.042839253787262506	0.0
15	IT_ALP0149	1.8998507591683718	0.164531318408055	0.115871040928445	0.06337302435384759	3.12
15	IT_ALP0148	1.8068471636392702	0.0908812694354561	0.0903647139800805	0.023151111522991492	0.0
15	IT_ALP0147	1.8336573150509257	0.109013114285853	0.0976488249737742	0.05762404679141956	3.12
15	IT_ALP0146	1.8225656294746893	0.083984635516123	0.074842945450315	0.03400522478672397	0.0
15	IT_ALP0145	1.9659447732481505	0.152227289139133	0.15109627413135	0.0928634410122664	0.0
15	IT_ALP0144	1.866298679676983	0.0981056356787197	0.0922864587653659	0.05389232351082926	0.0
15	IT_ALP0098	1.8827129973819543	0.0768830969431235	0.065302413436223	0.03098028424928747	0.0
15	IT_ALP0151	1.941200590789016	0.166887931437474	0.129103255941919	0.07630181104690605	0.0
15	IT_ALP0158	2.228904906953848	0.180379488037122	0.173795578840609	0.05239548977600288	3.12
15	IT_ALP0117	1.9624609127856634	0.141533803416656	0.101275418549786	0.054134720575015685	0.0
15	IT_ALP0115	1.8011971719178261	0.078760271356608	0.074966658568498	0.04670006633971638	0.0
15	IT_ALP0116	1.7723586923623962	0.100878921295709	0.0903887703871643	0.05516177865893509	0.0
15	IT_ALP0100	1.822376288571893	0.110107909872848	0.0947083645652236	0.026318035451102464	0.0
15	IT_ALP0102	1.8676895735772314	0.0844295741288318	0.0802670411999704	0.04230074302324161	0.0
15	IT_ALP0103	1.9081776523878804	0.105796400540593	0.0775542059162148	0.04667294707585707	0.0
15	IT_ALP0104	1.8379524981987874	0.0915344726811334	0.0766407480369291	0.039530883053495794	0.0
15	IT_ALP0105	1.8217466036475862	0.0764988435729769	0.0757313902580022	0.042647207436457495	0.0
15	IT_ALP0106	1.9032279567014718	0.124819222592487	0.110417541771274	0.08888693662589985	3.12
15	IT_ALP0101	1.8155622177435031	0.14619637356438	0.0943419696873159	0.05142711857447492	0.0
15	IT_ALP0108	1.966430468650604	0.156020750019935	0.110504415136609	0.07072437927352818	0.0
15	IT_ALP0109	1.9297682613555487	0.0725100175818512	0.0709636148366706	0.04120655737808137	0.0
15	IT_ALP0110	1.8213349946663644	0.0974025073117406	0.0879764435033668	0.030173073535764303	3.12
15	IT_ALP0111	1.8412932257019725	0.0798046451626626	0.054032662673443	0.02794507651364712	0.0
15	IT_ALP0112	1.924809101084107	0.11539542464169	0.0966675549984804	0.0477041415099622	0.0
15	IT_ALP0113	1.9028394404509625	0.0903578920036682	0.0803055899535597	0.037977363381781114	0.0
15	IT_ALP0107	1.9638667279815456	0.157776913385921	0.14528869110993	0.08048613747155099	0.0
15	IT_ALP0114	1.9092997533155351	0.11427945515191	0.0660713543188075	0.032880728131677424	0.0
16	IT_VSS0010	1.8720376210734353	0.192916961595838	0.18898095679633	0.12980821436874526	3.12
16	IT_VSS0009	1.9208004987273313	0.091275983114644	0.0862532248579223	0.06930404496305813	9.38
16	IT_VSS0008	1.873659229916509	0.105329048356401	0.0960670712459709	0.08157321024781423	6.25
16	IT_VSS0007	1.9761058909606894	0.0884024179859191	0.0838359569621584	0.06696990427194736	6.25
16	IT_VSS0006	1.8995051086090375	0.0950065374414816	0.0929162242660189	0.07882124934793243	9.38
16	IT_VSS0003	1.7982237265710135	0.115025400231273	0.111866653272843	0.09069430913331615	3.12
16	IT_VSS0004	1.8184226935994363	0.10650109295085	0.103416211184767	0.0868188290752355	3.12
16	IT_VSS0002	1.9476198754274263	0.0819836524857171	0.07609134858914	0.06410579020069217	9.38
16	IT_VSS0001	1.9213935199403598	0.101086339437499	0.0909325936217688	0.0737963267190414	12.5
16	IT_VSS0011	1.8902922159748035	0.106716195104677	0.102587669161553	0.08535155022751326	3.12
16	IT_VSS0005	1.9260557507030345	0.109747066795336	0.0948555624227204	0.08191023669546545	3.12
16	IT_VSS0012	1.977450826528814	0.0919861893456773	0.0912085076000679	0.07037413416338248	6.25
16	IT_VSS0020	1.9002132582645308	0.0936769848287504	0.0931362403901669	0.07412297116552947	6.25
16	IT_VSS0014	1.9700033437131903	0.0948045258115131	0.0943621552415843	0.06797711931800864	12.5
16	IT_VSS0015	1.9022648832353826	0.0865999259846964	0.0857450859125196	0.07202435016395967	3.12
16	IT_VSS0016	1.9196270594819518	0.12689029005798	0.113939342725921	0.0861261677111961	6.25
16	IT_VSS0017	1.9089505990798312	0.106073203258207	0.102400356010525	0.0853714118657014	6.25
16	IT_VSS0018	1.930281075541123	0.0808297626957922	0.0759521930361648	0.06270882652838629	6.25
16	IT_VSS0019	1.9225576841746046	0.123076976510756	0.104520728334392	0.08351279564014093	3.12
16	IT_VSS0021	1.9644661946475808	0.0917820511822951	0.0917059973964586	0.07796177656113366	9.38
16	IT_VSS0022	1.9129877249395657	0.108594086917823	0.0963550137933471	0.07732958953071943	3.12
16	IT_VSS0023	1.9159776040073266	0.0926939161893843	0.0855859428618565	0.07568962662341518	9.38
16	IT_VSS0024	1.9105210529119427	0.216244587937577	0.138692210647288	0.08148713168622246	6.25
16	IT_VSS0013	1.855858410833963	0.115192941101582	0.102903248769063	0.08524179408362598	9.38
17	PSS1	1.313702893424312	0.109296323444412	0.106908502115049	0.07378152058303826	0.0
17	PAZ24	1.319310626566247	0.122910740740957	0.11791199186153	0.07882794079344693	9.38
17	PAZ17	1.1401959942931432	0.168147095450238	0.167727947452454	0.07996183709991227	3.12
17	PAZ22	1.179181715919116	0.138913559215199	0.126003597728757	0.0727121455706575	0.0
17	PAZ03	1.2623309751627314	0.108025873852823	0.105795260153634	0.0776251930381046	0.0
17	PAZ04	1.330967892292091	0.109653184520606	0.107100362941409	0.0786814953832773	0.0
17	PAZ05	1.3787259890671604	0.18898095679633	0.110238146369501	0.08085658455205137	3.12
17	PAZ06	1.3329685818428056	0.164242413513143	0.120184729608783	0.08054613101618847	3.12
17	PAZ07	1.3129533219233818	0.130146185080641	0.118596553988546	0.08281945286159642	6.25
17	PAZ08	1.3241525247961143	0.161990178983166	0.123211795849193	0.0772597514988476	3.12
17	PAZ09	1.2801450318516274	0.192916961595838	0.162164282261536	0.0858201254668286	0.0
17	PAZ10	1.271077164823339	0.122121759966219	0.113269284301858	0.0800900185898092	0.0
17	PAZ23	1.3311168916431309	0.11623541109556	0.101959801086126	0.0768866496243516	0.0
17	PAZ12	1.1574490683859118	0.158940249325071	0.158617523717619	0.08207365533149669	0.0
17	PAZ13	1.3480674011543976	0.13409223147585	0.120936747149334	0.07513907776975907	0.0
17	PAZ14	1.2843559836584266	0.16552829891948	0.157217071022054	0.08403026941058471	3.12
17	PAZ16	1.1582626740678978	0.175583025493634	0.138007683564136	0.07678285046153045	9.38
