Animal_ID,Own_Population,11,6,12,18,3,5,10,9,7,8,22,1,19,15,14,13,2,16,17,4,20,23,21
APPgoat1,11,0,1,0,0,2,1,0,1,2,0,2,0,0,0,1,0,1,0,0,0,4,1,1
APPgoat10,11,0,2,0,0,2,0,0,1,0,0,2,1,0,0,2,1,0,0,0,0,0,2,0
APPgoat11,11,0,1,1,2,4,1,0,1,0,1,5,0,0,0,1,0,1,0,0,1,2,2,2
APPgoat12,11,0,2,0,0,3,1,0,0,1,0,3,0,0,0,0,0,0,0,1,1,2,2,1
APPgoat13,11,0,1,1,0,5,1,1,1,0,0,4,0,0,0,1,0,0,1,1,2,1,2,0
APPgoat14,11,0,4,0,1,3,1,1,0,1,1,4,0,0,1,0,0,0,1,0,0,0,2,1
APPgoat15,11,0,3,0,2,1,0,1,1,1,0,2,0,0,0,0,0,1,1,1,2,0,2,1
APPgoat16,11,0,3,1,2,6,1,0,1,1,1,4,0,0,0,1,0,2,0,1,0,1,1,3
APPgoat17,11,0,3,0,1,4,2,1,0,1,2,1,0,0,0,1,1,0,0,0,1,1,4,0
APPgoat18,11,0,2,0,0,4,1,0,0,0,1,1,2,0,2,1,0,1,1,0,0,0,1,1
APPgoat19,11,0,2,0,0,3,3,0,0,1,2,0,0,0,0,1,1,0,0,0,0,1,3,1
APPgoat2,11,0,4,0,0,3,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,1,1,1
APPgoat20,11,0,2,0,2,0,1,1,0,2,1,1,1,0,0,0,0,1,0,0,1,0,1,0
APPgoat21,11,0,2,0,0,2,1,1,0,1,1,1,0,0,0,0,0,1,1,0,0,0,3,0
APPgoat22,11,0,1,0,1,1,0,0,0,1,2,1,1,0,0,1,1,0,0,1,0,1,1,0
APPgoat23,11,0,1,0,1,3,2,1,1,0,1,3,1,0,0,0,1,1,0,0,1,0,2,1
APPgoat24,6,3,0,1,0,0,3,0,1,2,0,0,0,0,1,1,2,0,0,0,0,0,0,0
APPgoat25,6,2,0,0,2,0,6,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0
APPgoat26,6,1,0,0,1,0,7,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
APPgoat27,12,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0
APPgoat28,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
APPgoat29,12,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
APPgoat3,11,0,2,0,0,1,0,1,0,2,0,2,0,0,0,0,1,1,0,0,0,1,2,2
APPgoat4,11,0,4,0,0,2,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,2,1,2
APPgoat5,11,0,4,0,1,2,1,0,0,3,2,2,0,1,0,1,0,1,1,0,0,3,3,2
APPgoat6,11,0,2,0,1,0,1,0,0,1,0,4,0,0,0,0,1,0,1,0,0,0,4,0
APPgoat7,11,0,3,0,0,1,0,0,0,2,1,1,0,0,0,0,0,3,2,0,0,2,2,1
APPgoat8,11,0,1,0,0,2,0,0,0,0,1,5,0,0,2,0,0,0,0,0,0,3,2,0
APPgoat9,11,0,0,0,0,2,1,1,0,0,1,1,0,0,2,2,1,0,0,0,0,2,1,0
BLZ07439,18,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,5,5,0,0,1,0
BLZ08130,18,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,7,4,0,1,0,0
BLZ10920,18,1,1,0,0,0,0,1,0,0,0,2,0,0,1,1,0,0,6,1,1,3,2,0
BLZ22430,18,0,1,1,0,1,1,0,0,0,0,3,0,0,0,3,0,0,4,4,0,1,1,1
BLZ24630,18,0,2,1,0,0,1,0,0,1,0,2,0,0,1,2,0,0,5,3,0,1,2,0
BLZ32530,18,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,6,3,0,0,2,0
BLZ39630,18,0,0,1,0,0,0,1,0,1,0,0,0,0,0,3,0,2,9,5,0,1,1,0
BLZ44330,18,0,0,1,0,1,1,0,0,0,0,1,0,0,0,1,0,1,8,5,1,1,1,0
