Animal_ID,Pop_ID,spa,most_affluent_pop
CHAgoat231,11,6.25,23
CHAgoat232,11,9.38,23
CHAgoat233,11,9.38,23
CHAgoat234,11,9.38,23
CHAgoat235,11,3.12,23
CHAgoat236,11,6.25,23
CHAgoat237,6,9.52,5
CHAgoat238,6,11.9,5
CHAgoat239,6,11.9,5
DRZ001,22,41.67,16
DRZ002,22,25.0,16
DRZ003,22,0.0,16
DRZ004,22,8.33,16
DRZ005,22,20.83,16
DRZ006,22,37.5,16
DRZ007,22,37.5,16
DRZ008,22,16.67,16
DRZ009,22,37.5,16
DRZ010,22,29.17,16
DRZ011,22,20.83,16
DRZ012,22,50.0,16
DRZ013,22,25.0,16
DRZ014,22,16.67,16
DRZ015,22,20.83,16
DRZ016,22,29.17,16
DRZ017,22,37.5,16
DRZ018,22,58.33,16
DRZ019,22,12.5,16
DRZ020,22,29.17,16
DRZ021,22,33.33,16
DRZ022,22,29.17,16
DRZ023,22,16.67,16
DRZ024,22,33.33,16
DRZ025,22,16.67,16
DRZ026,22,20.83,16
DRZ027,22,29.17,16
DRZ028,22,16.67,16
DRZ029,22,33.33,16
DRZ030,22,45.83,16
DRZ031,22,33.33,16
DRZ032,22,54.17,16
DRZ033,22,25.0,16
DRZ034,22,20.83,16
DRZ035,22,25.0,16
DRZ036,22,25.0,16
DRZ037,22,20.83,16
DRZ038,22,45.83,16
DRZ039,22,25.0,16
DRZ040,22,29.17,16
DRZ041,22,16.67,16
DRZ042,22,0.0,16
DRZ043,22,4.17,16
DRZ044,22,29.17,16
DRZ045,22,16.67,16
DRZ046,22,37.5,16
DRZ047,22,37.5,16
DRZ048,22,25.0,16
DRZ049,22,33.33,16
DRZ050,22,37.5,16
DRZ051,22,20.83,16
DRZ052,22,33.33,16
DRZ053,22,29.17,16
DRZ054,22,33.33,16
DRZ055,22,12.5,16
DRZ056,22,8.33,16
DRZ057,22,4.17,16
DRZ058,22,12.5,16
DRZ059,22,12.5,16
DRZ060,22,8.33,16
DRZ061,22,16.67,16
DRZ062,22,20.83,16
DRZ063,22,12.5,16
DRZ064,22,25.0,16
DRZ065,22,4.17,16
DRZ066,22,12.5,16
DRZ067,22,8.33,16
DRZ068,22,4.17,16
DRZ069,22,12.5,16
DRZ070,22,20.83,16
DRZ071,22,20.83,16
DRZ072,22,8.33,16
DRZ073,22,8.33,16
DRZ074,22,16.67,16
DRZ075,22,16.67,16
DRZ076,22,33.33,16
DRZ077,22,29.17,16
DRZ078,22,12.5,16
DRZ079,22,8.33,16
DRZ080,22,16.67,16
DRZ081,22,12.5,16
DRZ082,22,4.17,16
DRZ083,22,20.83,16
DRZ084,22,8.33,16
DRZ085,22,16.67,16
DRZ086,22,33.33,16
DRZ087,22,37.5,16
DRZ088,22,12.5,16
DRZ089,22,20.83,16
DRZ090,22,37.5,16
DRZ091,22,29.17,16
DRZ092,22,33.33,16
DRZ093,22,29.17,16
DRZ094,22,16.67,16
DRZ095,22,8.33,16
DRZ096,22,4.17,16
DRZ143W0,22,20.83,16
DRZ189W0,22,20.83,16
DRZ192W1,22,12.5,16
DRZ197W1,22,16.67,16
DRZ223W1,22,12.5,16
DRZ254W1,22,29.17,16
DRZ255W1,22,16.67,16
DRZ258W0,22,4.17,16
DRZ260W1,22,20.83,16
DRZ261W1,22,20.83,16
DRZ265W0,22,12.5,16
DRZ266W0,22,20.83,16
DRZ267W0,22,29.17,16
DRZ268W0,22,8.33,16
DRZ269W0,22,16.67,16
DRZ272W1,22,16.67,16
DRZ274W0,22,16.67,16
DRZ277W0,22,20.83,16
DRZ278W0,22,16.67,16
DRZ279W1,22,16.67,16
DRZ280W0,22,12.5,16
DRZ281W0,22,41.67,16
DRZ282W1,22,20.83,16
DRZ284W1,22,25.0,16
DRZ286W0,22,20.83,16
DRZ287W1,22,25.0,16
DRZ302W1,22,25.0,16
DRZ359W1,22,29.17,16
DRZ367W1,22,12.5,16
DRZ368W1,22,12.5,16
DRZ371W1,22,29.17,16
DRZ374W1,22,12.5,16
DRZ375W1,22,12.5,16
DRZ377W1,22,20.83,16
DRZ378W1,22,20.83,16
DRZ379W0,22,16.67,16
DRZ380W0,22,16.67,16
DRZ381W1,22,8.33,16
DRZ383W0,22,33.33,16
DRZ384W1,22,29.17,16
DRZ385W1,22,16.67,16
DRZ387W0,22,29.17,16
DRZ388W0,22,16.67,16
DRZ389W1,22,16.67,16
DRZ390W1,22,25.0,16
DRZ391W0,22,20.83,16
DRZ392W0,22,20.83,16
DRZ393W0,22,8.33,16
DRZ394W1,22,29.17,16
DRZ395W0,22,12.5,16
DRZ396W0,22,41.67,16
DRZ397W0,22,4.17,16
DRZ398W1,22,20.83,16
DRZ400W1,22,16.67,16
DRZ401W0,22,20.83,16
DRZ404W1,22,16.67,16
DRZ449W1,22,4.17,16
DRZ464W0,22,0.0,16
DRZ466W0,22,8.33,16
DRZ471W0,22,16.67,16
FR_ALP0161,1,4.43,15
FR_ALP0162,1,3.8,15
FR_ALP0163,1,2.53,15
FR_ALP0164,1,1.9,15
FR_ALP0165,1,5.7,15
FR_ALP0166,1,7.59,15
FR_ALP0167,1,5.7,15
FR_ALP0168,1,2.53,15
FR_ALP0169,1,4.43,15
FR_ALP0170,1,5.06,15
FR_ALP0171,1,3.16,15
FR_ALP0172,1,3.8,15
FR_ALP0173,1,4.43,15
FR_ALP0174,1,5.7,15
FR_ALP0175,1,3.16,15
FR_ALP0176,1,1.9,15
FR_ALP0177,1,3.16,15
FR_ALP0178,1,5.7,15
FR_ALP0179,1,6.96,15
FR_ALP0180,1,3.16,15
FR_ALP0181,1,5.06,15
FR_ALP0182,1,5.06,15
FR_ALP0183,1,5.7,15
FR_ALP0184,1,6.96,15
FR_ALP0185,1,1.9,15
FR_ALP0186,1,5.06,15
FR_ALP0187,1,5.7,15
FR_ALP0188,1,2.53,15
FR_ALP0189,1,8.23,15
FR_ALP0190,1,4.43,15
FR_ALP0191,1,4.43,15
FR_ALP0192,1,5.7,15
FR_ALP0193,1,4.43,15
FR_ALP0194,1,7.59,15
FR_ALP0195,1,5.06,15
FR_ALP0196,1,5.06,15
FR_ALP0197,1,3.8,15
FR_ALP0198,1,4.43,15
FR_ALP0199,1,4.43,15
FR_ALP0200,1,3.8,15
FR_ALP0201,1,3.8,15
FR_ALP0202,1,1.9,15
FR_ALP0203,1,2.53,15
FR_ALP0204,1,4.43,15
FR_ALP0205,1,5.06,15
FR_ALP0206,1,4.43,15
FR_ALP0207,1,3.16,15
FR_ALP0208,1,5.7,15
FR_ALP0209,1,1.27,15
FR_ALP0210,1,6.33,15
FR_ALP0211,1,4.43,15
FR_ALP0212,1,4.43,15
GGZ13470,19,0.0,20
GGZ14970,19,3.7,20
GGZ16570,19,3.7,20
GGZ21370,19,3.7,20
GGZ25730,19,0.0,20
GGZ28258,19,0.0,20
GGZ31820,19,7.41,20
GGZ33720,19,0.0,20
GGZ45240,19,3.7,20
GGZ47162,19,0.0,20
GGZ48091,19,0.0,20
GGZ51770,19,0.0,20
GGZ51980,19,3.7,20
GGZ66613,19,0.0,20
GGZ70071,19,0.0,20
GGZ70720,19,3.7,20
GGZ73811,19,0.0,20
GGZ80750,19,0.0,20
GGZ82470,19,18.52,20
GGZ86970,19,0.0,20
GGZ90568,19,0.0,20
GGZ93524,19,0.0,20
GSTgoat30,12,4.55,19
GSTgoat31,12,0.0,19
GSTgoat32,12,0.0,19
GSTgoat33,12,0.0,19
GSTgoat34,12,0.0,19
GSTgoat35,12,0.0,19
GSTgoat36,12,4.55,19
GSTgoat37,12,9.09,19
GSTgoat38,12,0.0,19
GSTgoat39,12,0.0,19
GSTgoat40,5,8.11,6
GSTgoat41,5,8.11,6
GSTgoat42,5,13.51,6
GSTgoat43,5,21.62,6
GSTgoat44,5,13.51,6
GSTgoat45,3,0.0,23
GSTgoat46,3,6.25,23
GSTgoat47,3,3.12,23
GSTgoat48,3,9.38,23
GSTgoat49,3,3.12,23
GSTgoat50,3,3.12,23
GSTgoat51,3,3.12,23
GSTgoat52,3,6.25,23
GSTgoat53,3,3.12,23
GSTgoat54,3,6.25,23
GSTgoat55,3,9.38,23
GSTgoat56,3,3.12,23
GSTgoat57,3,9.38,23
GSTgoat58,3,9.38,23
GSTgoat59,3,6.25,23
GSTgoat60,3,0.0,23
GSTgoat61,3,0.0,23
GSTgoat62,3,6.25,23
GSTgoat63,3,6.25,23
GSTgoat64,12,0.0,19
GSTgoat65,12,0.0,19
GSTgoat66,12,0.0,19
GSTgoat67,12,0.0,19
GSTgoat68,12,0.0,19
GSTgoat69,12,4.55,19
GSTgoat70,12,0.0,19
GSTgoat71,12,0.0,19
GSTgoat72,12,0.0,19
GSTgoat73,12,0.0,19
GSTgoat74,12,0.0,19
GSTgoat75,12,0.0,19
GSTgoat76,12,4.55,19
GSTgoat77,12,0.0,19
GSTgoat78,12,0.0,19
IT_ALP0001,15,15.38,1
IT_ALP0003,15,5.77,1
IT_ALP0004,15,9.62,1
IT_ALP0005,15,5.77,1
IT_ALP0006,15,7.69,1
IT_ALP0007,15,23.08,1
IT_ALP0008,15,9.62,1
IT_ALP0009,15,7.69,1
IT_ALP0010,15,5.77,1
IT_ALP0011,15,5.77,1
IT_ALP0012,15,11.54,1
IT_ALP0013,15,19.23,1
IT_ALP0014,15,11.54,1
IT_ALP0015,15,13.46,1
IT_ALP0016,15,13.46,1
IT_ALP0017,15,7.69,1
IT_ALP0018,15,11.54,1
IT_ALP0019,15,3.85,1
IT_ALP0020,15,21.15,1
IT_ALP0021,15,11.54,1
IT_ALP0022,15,13.46,1
IT_ALP0023,15,19.23,1
IT_ALP0024,15,17.31,1
IT_ALP0025,15,5.77,1
IT_ALP0026,15,11.54,1
IT_ALP0027,15,3.85,1
IT_ALP0028,15,9.62,1
IT_ALP0029,15,1.92,1
IT_ALP0030,15,7.69,1
IT_ALP0031,15,5.77,1
IT_ALP0032,15,13.46,1
IT_ALP0033,15,3.85,1
IT_ALP0034,15,11.54,1
IT_ALP0035,15,5.77,1
IT_ALP0036,15,9.62,1
IT_ALP0037,15,5.77,1
IT_ALP0038,15,25.0,1
IT_ALP0039,15,15.38,1
IT_ALP0040,15,5.77,1
IT_ALP0041,15,15.38,1
IT_ALP0042,15,5.77,1
IT_ALP0043,15,3.85,1
IT_ALP0044,15,9.62,1
IT_ALP0045,15,7.69,1
IT_ALP0046,15,5.77,1
IT_ALP0047,15,7.69,1
IT_ALP0048,15,11.54,1
IT_ALP0049,15,3.85,1
IT_ALP0050,15,19.23,1
IT_ALP0051,15,1.92,1
IT_ALP0052,15,9.62,1
IT_ALP0053,15,9.62,1
IT_ALP0054,15,17.31,1
IT_ALP0055,15,15.38,1
IT_ALP0056,15,9.62,1
IT_ALP0057,15,7.69,1
IT_ALP0058,15,11.54,1
IT_ALP0059,15,3.85,1
IT_ALP0060,15,19.23,1
IT_ALP0061,15,15.38,1
IT_ALP0062,15,5.77,1
IT_ALP0063,15,5.77,1
IT_ALP0064,15,3.85,1
IT_ALP0065,15,13.46,1
IT_ALP0066,15,7.69,1
IT_ALP0067,15,5.77,1
IT_ALP0068,15,7.69,1
IT_ALP0069,15,3.85,1
IT_ALP0070,15,11.54,1
IT_ALP0071,15,17.31,1
IT_ALP0072,15,9.62,1
IT_ALP0073,15,3.85,1
IT_ALP0074,15,5.77,1
IT_ALP0075,15,19.23,1
IT_ALP0076,15,9.62,1
IT_ALP0077,15,9.62,1
IT_ALP0078,15,13.46,1
IT_ALP0079,15,9.62,1
IT_ALP0080,15,9.62,1
IT_ALP0081,15,11.54,1
IT_ALP0082,15,19.23,1
IT_ALP0083,15,3.85,1
IT_ALP0084,15,11.54,1
IT_ALP0085,15,3.85,1
IT_ALP0086,15,9.62,1
IT_ALP0087,15,5.77,1
IT_ALP0088,15,3.85,1
IT_ALP0089,15,3.85,1
IT_ALP0090,15,5.77,1
IT_ALP0091,15,9.62,1
IT_ALP0092,15,3.85,1
IT_ALP0093,15,9.62,1
IT_ALP0094,15,3.85,1
IT_ALP0095,15,1.92,1
IT_ALP0096,15,9.62,1
IT_ALP0097,15,13.46,1
IT_ALP0098,15,5.77,1
IT_ALP0099,15,5.77,1
IT_ALP0100,15,1.92,1
IT_ALP0101,15,5.77,1
IT_ALP0102,15,5.77,1
IT_ALP0103,15,7.69,1
IT_ALP0104,15,1.92,1
IT_ALP0105,15,5.77,1
IT_ALP0106,15,15.38,1
IT_ALP0107,15,7.69,1
IT_ALP0108,15,17.31,1
IT_ALP0109,15,0.0,1
IT_ALP0110,15,1.92,1
IT_ALP0111,15,7.69,1
IT_ALP0112,15,1.92,1
IT_ALP0113,15,1.92,1
IT_ALP0114,15,3.85,1
IT_ALP0115,15,7.69,1
IT_ALP0116,15,7.69,1
IT_ALP0117,15,13.46,1
IT_ALP0118,15,17.31,1
IT_ALP0119,15,19.23,1
IT_ALP0120,15,3.85,1
IT_ALP0121,15,7.69,1
IT_ALP0122,15,5.77,1
IT_ALP0123,15,1.92,1
IT_ALP0124,15,3.85,1
IT_ALP0125,15,9.62,1
IT_ALP0126,15,9.62,1
IT_ALP0127,15,9.62,1
IT_ALP0128,15,5.77,1
IT_ALP0129,15,15.38,1
IT_ALP0130,15,3.85,1
IT_ALP0131,15,5.77,1
IT_ALP0132,15,1.92,1
IT_ALP0133,15,3.85,1
IT_ALP0134,15,13.46,1
IT_ALP0135,15,7.69,1
IT_ALP0136,15,15.38,1
IT_ALP0137,15,13.46,1
IT_ALP0138,15,1.92,1
IT_ALP0139,15,3.85,1
IT_ALP0140,15,7.69,1
IT_ALP0141,15,9.62,1
IT_ALP0143,15,5.77,1
IT_ALP0144,15,3.85,1
IT_ALP0145,15,9.62,1
IT_ALP0146,15,3.85,1
IT_ALP0147,15,15.38,1
IT_ALP0148,15,1.92,1
IT_ALP0149,15,11.54,1
IT_ALP0150,15,5.77,1
IT_ALP0151,15,11.54,1
IT_ALP0152,15,13.46,1
IT_ALP0153,15,11.54,1
IT_ALP0154,15,17.31,1
IT_ALP0155,15,7.69,1
IT_ALP0156,15,13.46,1
IT_ALP0157,15,15.38,1
IT_ALP0158,15,7.69,1
IT_ALP0159,15,13.46,1
IT_ALP0160,15,25.0,1
IT_BIO0001,14,12.5,23
IT_BIO0002,14,15.62,23
IT_BIO0003,14,18.75,23
IT_BIO0004,14,15.62,23
IT_BIO0005,14,6.25,23
IT_BIO0006,14,12.5,23
IT_BIO0007,14,18.75,23
IT_BIO0008,14,9.38,23
IT_BIO0009,14,6.25,23
IT_BIO0010,14,6.25,23
IT_BIO0011,14,25.0,23
IT_BIO0012,14,12.5,23
IT_BIO0013,14,28.12,23
IT_BIO0014,14,21.88,23
IT_BIO0015,14,0.0,23
IT_BIO0016,14,6.25,23
IT_BIO0017,14,18.75,23
IT_BIO0018,14,18.75,23
IT_BIO0019,14,12.5,23
IT_BIO0020,14,15.62,23
IT_BIO0021,14,9.38,23
IT_BIO0022,14,6.25,23
IT_BIO0023,14,15.62,23
IT_BIO0024,14,21.88,23
IT_ORO0001,13,20.83,14
IT_ORO0002,13,25.0,14
IT_ORO0003,13,33.33,14
IT_ORO0004,13,16.67,14
IT_ORO0005,13,29.17,14
IT_ORO0006,13,8.33,14
IT_ORO0007,13,16.67,14
IT_ORO0008,13,29.17,14
IT_ORO0009,13,16.67,14
IT_ORO0010,13,16.67,14
IT_ORO0011,13,20.83,14
IT_ORO0012,13,12.5,14
IT_ORO0013,13,20.83,14
IT_ORO0014,13,29.17,14
IT_ORO0015,13,12.5,14
IT_ORO0016,13,25.0,14
IT_ORO0017,13,33.33,14
IT_ORO0018,13,37.5,14
IT_ORO0019,13,16.67,14
IT_ORO0020,13,29.17,14
IT_ORO0021,13,33.33,14
IT_ORO0022,13,25.0,14
IT_ORO0024,13,37.5,14
IT_VAL0001,2,6.25,23
IT_VAL0002,2,3.12,23
IT_VAL0003,2,9.38,23
IT_VAL0004,2,12.5,23
IT_VAL0005,2,3.12,23
IT_VAL0006,2,9.38,23
IT_VAL0007,2,6.25,23
IT_VAL0008,2,6.25,23
IT_VAL0009,2,6.25,23
IT_VAL0010,2,6.25,23
IT_VAL0011,2,9.38,23
IT_VAL0012,2,6.25,23
IT_VAL0013,2,6.25,23
IT_VAL0014,2,3.12,23
IT_VAL0015,2,6.25,23
IT_VAL0016,2,6.25,23
IT_VAL0017,2,6.25,23
IT_VAL0018,2,6.25,23
IT_VAL0019,2,18.75,23
IT_VAL0020,2,15.62,23
IT_VAL0021,2,9.38,23
IT_VAL0022,2,12.5,23
IT_VAL0023,2,12.5,23
IT_VAL0024,2,18.75,23
IT_VSS0001,16,13.64,17
IT_VSS0002,16,18.18,17
IT_VSS0003,16,9.09,17
IT_VSS0004,16,18.18,17
IT_VSS0005,16,18.18,17
IT_VSS0006,16,13.64,17
IT_VSS0007,16,0.0,17
IT_VSS0008,16,9.09,17
IT_VSS0009,16,31.82,17
IT_VSS0010,16,18.18,17
IT_VSS0011,16,18.18,17
IT_VSS0012,16,22.73,17
IT_VSS0013,16,4.55,17
IT_VSS0014,16,4.55,17
IT_VSS0015,16,22.73,17
IT_VSS0016,16,18.18,17
IT_VSS0017,16,18.18,17
IT_VSS0018,16,18.18,17
IT_VSS0019,16,18.18,17
IT_VSS0020,16,13.64,17
IT_VSS0021,16,18.18,17
IT_VSS0022,16,22.73,17
IT_VSS0023,16,13.64,17
IT_VSS0024,16,18.18,17
NVEgoat283,12,0.0,19
NVEgoat284,12,0.0,19
NVEgoat285,12,0.0,19
NVEgoat286,12,0.0,19
NVEgoat287,12,4.55,19
NVEgoat288,12,9.09,19
NVEgoat289,12,0.0,19
NVEgoat290,12,13.64,19
NVEgoat291,12,4.55,19
NVEgoat292,12,0.0,19
NVEgoat293,12,9.09,19
NVEgoat294,12,0.0,19
NVEgoat295,12,0.0,19
NVEgoat296,12,9.09,19
NVEgoat297,12,4.55,19
NVEgoat298,12,0.0,19
NVEgoat299,12,4.55,19
NVEgoat300,12,0.0,19
NVEgoat301,12,4.55,19
NVEgoat302,12,4.55,19
NVEgoat303,12,4.55,19
NVEgoat304,12,0.0,19
NVEgoat305,12,0.0,19
NVEgoat306,12,0.0,19
NVEgoat307,12,4.55,19
NVEgoat308,12,13.64,19
NVEgoat309,12,9.09,19
NVEgoat310,12,9.09,19
NVEgoat311,12,0.0,19
NVEgoat312,12,0.0,19
NVEgoat313,12,4.55,19
NVEgoat314,12,4.55,19
NVEgoat315,12,4.55,19
NVEgoat316,12,4.55,19
NVEgoat317,12,4.55,19
NVEgoat318,12,9.09,19
NVEgoat319,12,9.09,19
NVEgoat320,12,18.18,19
NVEgoat321,12,0.0,19
NVEgoat322,12,13.64,19
NVEgoat323,12,0.0,19
NVEgoat324,12,0.0,19
PAZ03,17,12.5,16
PAZ04,17,4.17,16
PAZ05,17,33.33,16
PAZ06,17,12.5,16
PAZ07,17,16.67,16
PAZ08,17,20.83,16
PAZ09,17,16.67,16
PAZ10,17,16.67,16
PAZ11,17,12.5,16
PAZ12,17,4.17,16
PAZ13,17,25.0,16
PAZ14,17,16.67,16
PAZ16,17,12.5,16
PAZ17,17,16.67,16
PAZ18,17,4.17,16
PAZ19,17,29.17,16
PAZ20,17,25.0,16
PAZ21,17,12.5,16
PAZ22,17,12.5,16
PAZ23,17,12.5,16
PAZ24,17,12.5,16
PEAgoat325,4,6.25,23
PEAgoat326,4,9.38,23
PEAgoat327,4,9.38,23
PEAgoat328,4,6.25,23
PEAgoat329,4,9.38,23
PEAgoat330,4,6.25,23
PEAgoat331,4,9.38,23
PEAgoat332,4,3.12,23
PEAgoat333,4,6.25,23
PEAgoat334,4,6.25,23
PEAgoat335,4,9.38,23
PEAgoat336,4,18.75,23
PEAgoat337,4,6.25,23
PEAgoat338,4,9.38,23
PEAgoat339,4,6.25,23
PEAgoat340,4,12.5,23
PEAgoat341,4,6.25,23
PEAgoat342,4,9.38,23
PEAgoat343,4,0.0,23
PEAgoat344,4,6.25,23
PEAgoat345,4,9.38,23
PEAgoat346,4,3.12,23
PEAgoat347,4,9.38,23
PEAgoat348,4,21.88,23
PEAgoat349,5,16.22,6
PEAgoat350,5,18.92,6
PEAgoat351,5,8.11,6
PEAgoat352,5,18.92,6
PEAgoat353,5,10.81,6
PEAgoat354,5,13.51,6
PEAgoat355,5,0.0,6
PIZ11920,20,18.75,23
PIZ35220,20,15.62,23
PIZ35952,20,28.12,23
PIZ36920,20,9.38,23
PIZ38752,20,9.38,23
PIZ40120,20,12.5,23
PIZ47320,20,21.88,23
PIZ48252,20,15.62,23
PIZ49590,20,15.62,23
PIZ49852,20,34.38,23
PIZ52352,20,34.38,23
PIZ55852,20,9.38,23
PIZ57952,20,12.5,23
PIZ61470,20,21.88,23
PIZ64320,20,12.5,23
PIZ67140,20,12.5,23
PIZ67152,20,15.62,23
PIZ69930,20,25.0,23
PIZ71330,20,21.88,23
PIZ72430,20,28.12,23
PIZ73152,20,9.38,23
PIZ74852,20,6.25,23
PIZ77252,20,9.38,23
PIZ81110,20,25.0,23
PIZ82020,20,12.5,23
PIZ85210,20,3.12,23
PIZ94110,20,21.88,23
PSS1,17,8.33,16
SAAgoat356,5,10.81,6
SAAgoat357,5,27.03,6
SAAgoat358,5,10.81,6
SAAgoat359,5,10.81,6
SAAgoat360,5,10.81,6
SAAgoat361,5,16.22,6
SAAgoat362,5,8.11,6
SAAgoat363,5,10.81,6
SAAgoat364,5,2.7,6
SAAgoat365,5,13.51,6
SAAgoat366,5,13.51,6
SAAgoat367,5,13.51,6
SAAgoat368,5,10.81,6
SAAgoat369,5,10.81,6
SAAgoat370,5,10.81,6
SAAgoat371,5,5.41,6
SAAgoat372,5,8.11,6
SAAgoat373,5,8.11,6
SAAgoat374,5,8.11,6
SAAgoat375,5,10.81,6
SAAgoat376,5,2.7,6
SAAgoat377,5,5.41,6
SAAgoat378,10,0.0,14
SAAgoat379,10,4.17,14
SAAgoat380,10,8.33,14
SAAgoat381,10,8.33,14
SAAgoat382,10,4.17,14
SAAgoat383,10,4.17,14
SAAgoat384,10,8.33,14
SAAgoat385,10,4.17,14
SAAgoat386,10,0.0,14
SAAgoat387,10,4.17,14
